name,n.obs,total.acc
Puerto Rico-Virgin Islands (PRVI) shelf complex,1795,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1516,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1516,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1603,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1603,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,540,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,540,95.8895100295955
Puerto Rico-Virgin Islands (PRVI) shelf complex,2676,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,2676,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1009,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1009,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1089,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1089,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,818,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,818,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1864,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1864,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1131,96.0210457086485
Puerto Rico-Virgin Islands (PRVI) shelf complex,1131,96.0210457086485
Adirondack lakes,4339,83.4063148190827
Adirondack lakes,3764,83.4063148190827
Adirondack lakes,3764,83.4063148190827
Adirondack lakes,2043,83.4063148190827
Adirondack lakes,2043,83.4063148190827
Adirondack lakes,783,83.4063148190827
Adirondack lakes,783,83.4063148190827
Adirondack lakes,,83.4063148190827
Adirondack lakes,1233,83.4063148190827
Adirondack lakes,3347,83.4063148190827
Adirondack lakes,3347,83.4063148190827
Adirondack lakes,3389,83.4063148190827
Adirondack lakes,3389,83.4063148190827
Adirondack lakes,653,83.4063148190827
Adirondack lakes,653,83.4063148190827
Adirondack lakes,1247,83.4063148190827
Adirondack lakes,1247,83.4063148190827
Adirondack lakes,3702,83.4063148190827
Adirondack lakes,3702,83.4063148190827
Adirondack lakes,1996,83.4063148190827
Adirondack lakes,1996,83.4063148190827
Adirondack lakes,493,83.4063148190827
Adirondack lakes,493,83.4063148190827
Adirondack lakes,3237,83.4063148190827
Adirondack lakes,3237,83.4063148190827
Adirondack lakes,3790,83.4063148190827
Adirondack lakes,3790,83.4063148190827
Adirondack lakes,1878,83.4063148190827
Adirondack lakes,1878,83.4063148190827
Adirondack lakes,298,83.4063148190827
Adirondack lakes,298,83.4063148190827
Adirondack lakes,4058,83.4063148190827
Adirondack lakes,4058,83.4063148190827
Adirondack lakes,3876,83.4063148190827
Adirondack lakes,3876,83.4063148190827
Adirondack lakes,3328,83.4063148190827
Adirondack lakes,3328,83.4063148190827
Adirondack lakes,3743,83.4063148190827
Adirondack lakes,3743,83.4063148190827
Adirondack lakes,4016,83.4063148190827
Adirondack lakes,4016,83.4063148190827
Tuesday Lake,179,100
Tuesday Lake,3,79.8882681564246
Tuesday Lake,3,96.6480446927374
Tuesday Lake,103,100
Tuesday Lake,103,99.4413407821229
Tuesday Lake,178,100
Tuesday Lake,178,100
Tuesday Lake,58,98.3240223463687
Tuesday Lake,58,96.6480446927374
Tuesday Lake,76,98.3240223463687
Tuesday Lake,76,99.4413407821229
Tuesday Lake,48,99.4413407821229
Tuesday Lake,48,96.6480446927374
Tuesday Lake,151,100
Tuesday Lake,151,100
Tuesday Lake,158,100
Tuesday Lake,158,99.4413407821229
Tuesday Lake,39,97.2067039106145
Tuesday Lake,39,100
Tuesday Lake,166,100
Tuesday Lake,166,99.4413407821229
Tuesday Lake,47,98.8826815642458
Tuesday Lake,47,96.6480446927374
Tuesday Lake,28,97.7653631284916
Tuesday Lake,28,98.3240223463687
Tuesday Lake,119,99.4413407821229
Tuesday Lake,119,98.8826815642458
Tuesday Lake,108,99.4413407821229
Tuesday Lake,108,98.8826815642458
