"","site","esd","ops","represented"
"34987","Intertidal rocky pools",12386.2969083218,2673.00923514395,1
"34988","Intertidal rocky pools",11016.2336670513,2673.00923514395,1
"34989","Intertidal rocky pools",10103.3418057638,2673.00923514395,1
"34990","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"34991","Intertidal rocky pools",16611.3223683083,2673.00923514395,1
"34992","Intertidal rocky pools",7918.77934993055,2673.00923514395,1
"34993","Intertidal rocky pools",6119.66348389174,2673.00923514395,1
"34994","Intertidal rocky pools",8305.66118415415,2673.00923514395,1
"34995","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"34996","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"34997","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"34998","Intertidal rocky pools",7918.77934993055,1240.7009817988,1
"34999","Intertidal rocky pools",8305.66118415415,1240.7009817988,1
"35000","Intertidal rocky pools",6119.66348389174,1240.7009817988,1
"35001","Intertidal rocky pools",16611.3223683083,4857.18012601056,1
"35002","Intertidal rocky pools",7918.77934993055,4857.18012601056,1
"35003","Intertidal rocky pools",6119.66348389174,4857.18012601056,1
"35004","Intertidal rocky pools",8305.66118415415,4857.18012601056,1
"35005","Intertidal rocky pools",16611.3223683083,16611.3223683083,1
"35006","Intertidal rocky pools",8305.66118415415,16611.3223683083,1
"35007","Intertidal rocky pools",16611.3223683083,8305.66118415415,1
"35008","Intertidal rocky pools",8305.66118415415,8305.66118415415,1
"35009","Intertidal rocky pools",16611.3223683083,2673.00923514395,1
"35010","Intertidal rocky pools",7918.77934993055,2673.00923514395,1
"35011","Intertidal rocky pools",6119.66348389174,2673.00923514395,1
"35012","Intertidal rocky pools",8305.66118415415,2673.00923514395,1
"35013","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35014","Intertidal rocky pools",16611.3223683083,5113.28271774544,1
"35015","Intertidal rocky pools",8305.66118415415,5113.28271774544,1
"35016","Intertidal rocky pools",8305.66118415415,1318.44153010177,1
"35017","Intertidal rocky pools",16611.3223683083,5560.08326889128,1
"35018","Intertidal rocky pools",8305.66118415415,5560.08326889128,1
"35019","Intertidal rocky pools",8305.66118415415,1789.4004578793,1
"35020","Intertidal rocky pools",16611.3223683083,2315.46512841907,1
"35021","Intertidal rocky pools",16611.3223683083,2840.49616922998,1
"35022","Intertidal rocky pools",8305.66118415415,1151.76476459395,1
"35023","Intertidal rocky pools",16611.3223683083,2121.56883589411,1
"35024","Intertidal rocky pools",8305.66118415415,2121.56883589411,1
"35025","Intertidal rocky pools",16611.3223683083,2481.4019635976,1
"35026","Intertidal rocky pools",16611.3223683083,2759.29428187033,1
"35027","Intertidal rocky pools",16611.3223683083,2373.37559657924,1
"35028","Intertidal rocky pools",8305.66118415415,2373.37559657924,1
"35029","Intertidal rocky pools",16611.3223683083,2673.00923514395,1
"35030","Intertidal rocky pools",7918.77934993055,2673.00923514395,1
"35031","Intertidal rocky pools",6119.66348389174,2673.00923514395,1
"35032","Intertidal rocky pools",8305.66118415415,2673.00923514395,1
"35033","Intertidal rocky pools",16611.3223683083,3367.78060192126,1
"35034","Intertidal rocky pools",7918.77934993055,3367.78060192126,1
"35035","Intertidal rocky pools",6119.66348389174,3367.78060192126,1
"35036","Intertidal rocky pools",8305.66118415415,3367.78060192126,1
"35037","Intertidal rocky pools",16611.3223683083,2673.00923514395,1
"35038","Intertidal rocky pools",7918.77934993055,2673.00923514395,1
"35039","Intertidal rocky pools",6119.66348389174,2673.00923514395,1
"35040","Intertidal rocky pools",8305.66118415415,2673.00923514395,1
"35041","Intertidal rocky pools",16611.3223683083,2673.00923514395,1
"35042","Intertidal rocky pools",7918.77934993055,2673.00923514395,1
"35043","Intertidal rocky pools",6119.66348389174,2673.00923514395,1
"35044","Intertidal rocky pools",8305.66118415415,2673.00923514395,1
"35045","Intertidal rocky pools",16611.3223683083,1240.7009817988,1
"35046","Intertidal rocky pools",7918.77934993055,1240.7009817988,1
"35047","Intertidal rocky pools",6119.66348389174,1240.7009817988,1
"35048","Intertidal rocky pools",8305.66118415415,1240.7009817988,1
"35049","Intertidal rocky pools",16611.3223683083,2673.00923514395,1
"35050","Intertidal rocky pools",7918.77934993055,2673.00923514395,1
"35051","Intertidal rocky pools",6119.66348389174,2673.00923514395,1
"35052","Intertidal rocky pools",8305.66118415415,2673.00923514395,1
"35053","Intertidal rocky pools",7918.77934993055,1883.74945936277,1
"35054","Intertidal rocky pools",6119.66348389174,1883.74945936277,1
"35055","Intertidal rocky pools",8305.66118415415,1883.74945936277,1
"35056","Intertidal rocky pools",7918.77934993055,7918.77934993055,1
"35057","Intertidal rocky pools",8305.66118415415,7918.77934993055,1
"35058","Intertidal rocky pools",7918.77934993055,6119.66348389174,1
"35059","Intertidal rocky pools",6119.66348389174,6119.66348389174,1
"35060","Intertidal rocky pools",8305.66118415415,6119.66348389174,1
"35061","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"35062","Intertidal rocky pools",6592.20765050887,1240.7009817988,1
"35063","Intertidal rocky pools",7489.87700807843,1240.7009817988,1
"35064","Intertidal rocky pools",8826.0820300688,1240.7009817988,1
"35065","Intertidal rocky pools",8907.05978299811,1240.7009817988,1
