Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Felis_catus,3.3,0.5,-1.2,1.8,Carnivore,Mammal,Terrestrial,"Kutt 2012, Paltridge et al. 1997",Kelt & van Vuren 2001,Kutt 2012,"Kutt 2012, Paltridge et al. 1997"
Felis_chaus,3.4,0.8,0.0,0.8,Carnivore,Mammal,Terrestrial,Mukherjee et al. 2004,Carbone et al. 2007,Carbone 2007,Carbone 2007
Genetta_tigrina,3.0,0.3,0.2,0.1,Carnivore,Invertebrate,Terrestrial,Munoz-Garcia et al. 2005,Kelt & van Vuren 2001,Ray et al. 2001,Popowics et al. 1997
Gulo_gulo,3.0,1.3,1.9,-0.6,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, Myhre et al. 1975",Kelt & van Vuren 2001,"Reimers et al. 1983, Christiansen 2006, Kelt & van Vuren 2001",Munoz-Garcia et al. 2005
Leopardus_pardalis,3.5,1.0,0.3,0.7,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, Wang 2002",Kelt & van Vuren 2001,Carbone 2007,Munoz-Garcia et al. 2005
Leopardus_wiedii,3.0,0.6,0.3,0.3,Carnivore,Mammal,Terrestrial,Munoz-Garcia et al. 2005,Kelt & van Vuren 2001,Wang 2002,Munoz-Garcia et al. 2005
Leptailurus_serval,3.5,1.0,-1.3,2.3,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia 2005, Thiel 2011 ",Carbone et al. 2007,Carbone 2007,Carbone 2007
Lycaon_pictus,3.0,1.4,1.5,-0.1,Carnivore,Mammal,Terrestrial,Hayward et al. 2008,Carbone et al. 2007,Carbone 2007,Carbone 2007
Lynx_canadensis,3.0,1.0,0.1,0.8,Carnivore,Mammal,Terrestrial,Poole 2003,Carbone et al. 2007,Carbone 2007,Carbone 2007
Lynx_lynx,3.1,1.4,1.3,0.1,Carnivore,Mammal,Terrestrial,Odden et al. 2006,Carbone et al. 2007,Carbone 2007,Carbone 2007
Lynx_pardinus,3.1,1.0,0.2,0.9,Carnivore,Mammal,Terrestrial,Gil-Sanchez et al. 2006,Kelt & van Vuren 2001,Carbone 2007,Gil-Sanchez et al. 2006
Lynx_rufus,3.5,1.1,-0.2,1.2,Carnivore,Mammal,Terrestrial,Delibes et al. 1988,Kelt & van Vuren 2001,"Swihart 1986, Djawden et al. 1988",Delibes et al. 1988
Martes_foina,3.1,0.3,-2.5,2.7,Carnivore,Invertebrate,Terrestrial,Bakaloudis et al. 2011,Kelt & van Vuren 2001,"Dwarakanath 1971, Reichle 1968",Bakaloudis et al. 2011
Martes_martes,2.9,0.1,-1.3,1.4,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Caryl et al. 2012",Carbone et al. 2007,Carbone 2007,Carbone 2007
Martes_pennanti,3.1,0.6,-0.1,0.8,Carnivore,Mammal,Terrestrial,Giuliano et al. 1989,Carbone et al. 2007,Carbone 2007,Carbone 2007
Meles_meles,2.8,1.0,-1.5,2.5,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Virgos et al. 2004, Goszczynski et al.2000",Carbone et al. 2007,Carbone 2007,Carbone 2007
Mungos_mungo,3.0,1.0,-2.0,3.0,Carnivore,Invertebrate,Terrestrial,Rood 1975,Carbone et al. 2007,Carbone 2007,Carbone 2007
Mustela_erminea,2.9,-0.6,-1.3,0.7,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Martinoli et al. 2001",Kelt & van Vuren 2001,Carbone 2007,Carbone 2007
Mustela_frenata,3.0,-0.8,-1.7,0.9,Carnivore,Invertebrate,Terrestrial,Reid et al. 2008 ,Kelt & van Vuren 2001,Carbone 2007,Carbone 2007
Mustela_nivalis,3.0,-1.1,-1.5,0.5,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Jedrzejewski et al. 1995",Kelt & van Vuren 2001,Carbone 2007,Carbone 2007
Mustela_putorius,3.5,0.0,-1.0,1.0,Carnivore,Mammal,Terrestrial,Lode 1997,Carbone et al. 2007,Carbone 2007,Carbone 2007
Mustela_vison,3.5,0.0,-1.0,1.0,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, Jedrzejewska et al. 2001",Carbone et al. 2007,Carbone 2007,Carbone 2007
Nasua_nasua,2.6,0.7,-3.7,4.3,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Hirsch 2009, Alves-Costa et al. 2004",Kelt & van Vuren 2001,"Tiunov et al. 2004, De Mischis et al. 1997, Reichle et al. 1968",Munoz-Garcia et al. 2005
Nyctereutes_procyonoides,3.0,0.8,-1.3,2.1,Carnivore,Invertebrate,Terrestrial,Sutor et al. 2010,Carbone et al. 2007,Carbone 2007,Carbone 2007
Otocyon_megalotis,2.5,0.6,-3.0,3.6,Carnivore,Invertebrate,Terrestrial,Kuntzsch et al. 2008,Carbone et al. 2007,Carbone 2007,Carbone 2007
Panthera_leo,3.0,2.2,2.1,0.0,Carnivore,Mammal,Terrestrial,Hayward 2005,Carbone et al. 2007,Carbone 2007,Carbone 2007
Panthera_onca,3.0,1.8,1.6,0.2,Carnivore,Mammal,Terrestrial,Weckel et al. 2006,Carbone et al. 2007,Carbone 2007,Carbone 2007
Panthera_pardus,3.0,1.6,1.5,0.1,Carnivore,Mammal,Terrestrial,Hayward et al. 2006b,Carbone et al. 2007,Carbone 2007,Carbone 2007
Panthera_tigris,3.1,2.2,2.3,0.0,Carnivore,Mammal,Terrestrial,Hayward 2012,Kelt & van Vuren 2001,Carbone 2007,Carbone 2007
Procyon_lotor,2.7,1.0,-2.7,3.7,Carnivore,Invertebrate,Terrestrial,Munoz-Garcia et al. 2005,Kelt & van Vuren 2001,"Hartnoll et al. 2006, Carrillo et al. 2001",Munoz-Garcia et al. 2005
Proteles_cristata,3.0,0.9,-3.0,3.9,Carnivore,Invertebrate,Terrestrial,deVries et al. 2011,Carbone et al. 2007,Carbone 2007,Carbone 2007
Puma_concolor,3.0,1.7,1.9,-0.2,Carnivore,Mammal,Terrestrial,Moreno et al. 2006,Carbone et al. 2007,Carbone 2007,Carbone 2007
Spilogale_putorius,3.0,-0.2,-0.6,0.4,Carnivore,Mammal-Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Crabb 1941",Kelt & van Vuren 2001,"Crabb 1941, Kelt & van Vuren 2001",Munoz-Garcia et al. 2005
Taxidea_taxus,2.6,0.9,-0.9,1.8,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, Michiner et al. 2004, Sovada et al. 1999",Kelt & van Vuren 2001,"Sovoda et al. 1999, Harestadt et al. 1979, Bradley et al. 1975, ",Munoz-Garcia et al. 2005
Vulpes_cana,2.8,0.0,-1.5,1.5,Carnivore,Invertebrate,Terrestrial,"Munoz-Garcia et al. 2005, Geffen et al. 1992",Carbone et al. 2007,Carbone 2007,Carbone 2007
