"X","name","specie","esd","opt","type","group","source","kingdom","phylum","class","order","family","genus","tag"
94,"Chaoborys punctipennis","Chaoborys punctipennis",737.462980252866,91.4156299468167,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
95,"Chelophyes appendiculata","Chelophyes appendiculata",400,400,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Chelophyes","Jellyfish - tentacled"
96,"Chionodraco rastrospinosus","Chionodraco rastrospinosus",5885.58659375564,3564.42806646111,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Channichthyidae","Chionodraco","Fish - predacious"
97,"Chorismus antarcticus","Chorismus antarcticus",7374.62980252866,9646.42544023908,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Chorismus","Invertebrate - swimming predacious"
98,"Chrysaora quinquecirrha","Chrysaora quinquecirrha",31622.7766016838,5477.22557505166,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Jellyfish - tentacled"
99,"Chrysaora quinquecirrha","Chrysaora quinquecirrha",5000,15811.3883008419,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Jellyfish - tentacled"
100,"Chrysaora quinquecirrha","Chrysaora quinquecirrha",10666.7091901272,424.667067731039,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Jellyfish - tentacled"
101,"Chrysaora quinquecirrha","Chrysaora quinquecirrha",46957.4275274956,3162.27766016838,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Jellyfish - tentacled"
102,"Chrysomonad","Chrysomonad sp.",3.4,0.848528137423857,"Flagellate","Plankton","Fuchs 2010","NA","NA","NA","NA","NA","NA","Plankton - Flagellate"
103,"Clio pyramidata","Clio pyramidata",3190.19159401085,2203.24673341026,"swimming predacious","Invertebrate","Brose 2019","Animalia","Mollusca","Gastropoda","Pteropoda","Cliidae","Clio","Invertebrate - swimming predacious"
104,"Clione limacina","Clione limacina",4592.14224936319,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Mollusca","Gastropoda","Pteropoda","Clionidae","Clione","Invertebrate - swimming predacious"
105,"Clupea harengus","Clupea harengus",60871.9328164516,8076.13919075489,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Fish - piscivorous"
